,ms,theta,u,muhs,mu3,lamh,lams,lammix,muh2,mus2,Pih,Pis,lamh_tilde,th_bool,h_low_0,s_low_0,h_high_0,s_high_0,Tnuc_0,dT_0,alpha_0,num_FOPT,alpha_max,dT_max,tran_type,h_low_1,s_low_1,h_high_1,s_high_1,Tnuc_1,dT_1,alpha_1,h_low_2,s_low_2,h_high_2,s_high_2,Tnuc_2,dT_2,alpha_2,vwf_0,xi_J_0,v_calculable_0,vwf_1,xi_J_1,v_calculable_1,isEWSB,vw,Lh,dh,h0,Ls,ds,shigh,slow,Type,alpha_p,vm,vp,xi_s,Tp/TN
0,443.70282286150507,-0.15113899957201626,-44.1039950769365,157.51266303370747,835.4818654956285,0.16296280058579127,12.255236179810732,1.0871499754539915,3988.302801130451,-14603.962484975413,0.4612807978488888,3.2450007075283485,0.1388527987100896,True,204.2789592820209,-37.463211397614174,6.679399732388696e-06,19.12789852619705,110.69773468093108,132.10910866559578,0.01140948567183894,1.0,0.01140948567183894,132.10910866559578,hs-SNR,,,,,,,,,,,,,,,0.5134612626242724,0.6578024583281658,True,,,,True,0.5591496384029737,0.043956203803468895,0,193.47194260659583,0.043956183852376235,-0.06933431522567078,18.830106892469814,-35.73016626632004,Deflagration,0.009297818404718735,0.5591496384029737,0.4916678735073824,0.5909730660398552,1.0524979301055066
1,830.6018044164406,0.22241775864291166,201.0912247469743,-547.2247041117985,147.99177116302027,0.3997076621845655,7.472934679064583,-0.2088874130272725,-90037.49110663006,183623.19546575233,0.5256516707948898,1.8334191009282668,0.39824792938897896,True,210.27836135735646,193.34713459336947,6.651656661219767e-06,162.46319245806836,104.62110519487663,45.04820189548579,0.011395226055635456,1.0,0.011395226055635456,45.04820189548579,hs-SNR,,,,,,,,,,,,,,,0.489370457778996,0.6577564563574134,True,,,,True,0.5140443830056153,0.04398751010143463,0,204.59176626755894,0.03745720519301039,0.377451715284114,162.53838337155474,192.21848764078953,Deflagration,0.010075310498523202,0.5140443830056153,0.4700476721460176,0.5791078184465492,1.0312551407700006
2,434.66425974668334,-0.15665022056269992,-45.187813136531716,145.69682372978556,818.7844513925382,0.16386477002881808,12.242837115086136,0.8240049962019733,4190.1341706039,-10746.566231044788,0.4507674084349014,3.1980434448051955,0.14999984175722608,True,203.7037073755917,-38.22490271984741,-1.5057542821026231e-06,21.501021239439645,111.20687380704479,132.78659969629402,0.01128590562580483,1.0,0.01128590562580483,132.78659969629402,hs-SNR,,,,,,,,,,,,,,,0.5125998423199671,0.6574026447075988,True,,,,True,0.559506810634533,0.044374788556323326,0,192.81331549170812,0.04437476835140911,-0.07605692487929515,21.280141917987223,-36.418361316015435,Deflagration,0.009199864913429955,0.559506810634533,0.492196184326765,0.5910264984785657,1.0524191419535465
3,504.7245829899562,-0.22683288552582884,-352.4938020626934,866.0469149571429,-663.9108743944465,0.2288264142986857,1.6185520899924943,1.853181886517122,-176275.3177106861,-51213.765841531036,0.526130600999633,0.7135016702509772,-0.3016296528475816,True,207.4700863606307,-343.73048386840134,4.22521797804781e-06,-304.58242544657026,106.2049507020054,40.71212295496575,0.011275720785844552,1.0,0.011275720785844552,40.71212295496575,hs-SNR,,,,,,,,,,,,,,,0.4771036638851081,0.6573695784826484,True,,,,True,0.545848418997427,0.065140447380625,0,198.16206105979538,0.06514043281736566,0.23274121097779357,-304.5589123759006,-341.66744228461846,Deflagration,0.009477717407826292,0.545848418997427,0.4872768423097376,0.5857366639673063,1.0443838431999075
4,396.460111835261,0.2444237508969725,159.91479428694373,-293.2617024305048,160.2055654591774,0.19744523315077728,2.3253673835737376,0.989774691973923,-22273.2264414974,8264.831854275486,0.4744647106530456,0.7463042945557549,0.09212274219813324,True,204.14547977399053,149.59859759392378,1.7736837558442223e-05,92.42590015867485,109.62100622605513,62.85341887702981,0.011198052208145034,1.0,0.011198052208145034,62.85341887702981,hs-SNR,,,,,,,,,,,,,,,0.4836553366817824,0.6571168341862952,True,,,,True,0.5231226170281108,0.04019112536699995,0,196.49412678664598,0.03682400640195158,0.056334493015836734,92.1059922418942,147.80601791673143,Deflagration,0.009796375021399906,0.5231226170281108,0.4760974293525514,0.5802215019926269,1.0339969628886896
5,486.40238785554044,0.09407790253117186,38.545509519394045,-261.14545693112626,-267.02572954824257,0.14515688730508394,6.398699691238104,4.597610863485238,2148.0834021887476,-46190.769411717774,0.5986470448765038,2.365943400057066,-0.6807150348052122,True,205.37402366480788,34.17440418960196,-6.032779014232846e-07,-1.4588893537594538,109.04636730023964,127.11458554051531,0.011126041673102329,1.0,0.011126041673102329,127.11458554051531,hs-sym,,,,,,,,,,,,,,,0.4939456098679707,0.6568815720014164,True,,,,True,0.533979677179643,0.044621562063111166,0,197.12890326361182,0.044621539569976186,0.038008793346890904,-1.3716392265914,33.26796900348136,Deflagration,0.009574053176559467,0.533979677179643,0.4822381524542992,0.5822993980471954,1.0382721700357935
6,497.6417850643212,-0.24126598546375164,-364.97549108310096,806.6068380763808,-687.3475822686587,0.2383264285890191,1.5700662025684606,1.611003767907197,-172647.1265026955,-59875.865702997566,0.5207898532027195,0.6610171786266479,-0.17492575402046212,True,206.95523863514484,-355.5772334627581,8.094528217171353e-05,-315.21402669013804,106.62376678104583,39.088505218112616,0.0110934545407787,1.0,0.0110934545407787,39.088505218112616,hs-SNR,,,,,,,,,,,,,,,0.4719810841302997,0.6567748116476839,True,,,,True,0.5441306866272569,0.06802734092598287,0,197.77413119371815,0.06802732676459486,0.24018664153471794,-315.1841515312807,-353.42818306069137,Deflagration,0.009372263286964059,0.5441306866272569,0.48715014899867903,0.585051097917639,1.043051593909187
7,434.2455745893856,-0.15483015223099472,-45.082529161083144,144.09273960693363,814.2715132943766,0.16299609046918856,12.51690187818668,0.8223904534461626,4219.578949279111,-9794.33956249509,0.4502657960402612,3.2662905451210302,0.14948783450254988,True,202.8389305064038,-38.038707539454386,-8.908240937427836e-07,21.325732564203435,111.80742846163747,132.61640072868497,0.011004313968243343,1.0,0.011004313968243343,132.61640072868497,hs-SNR,,,,,,,,,,,,,,,0.5072509265221177,0.6564818215665628,True,,,,True,0.5570395022967106,0.04455627678333537,0,192.19841414634496,0.04455625610426578,-0.0747963994579039,21.12783932985557,-36.29180279394441,Deflagration,0.009048151474825144,0.5570395022967106,0.4923847549904539,0.589721325506009,1.0501486551001311
8,877.8708415444237,0.2222041587416908,206.39369362514145,-544.6338119265179,149.66952777865524,0.4315503520034353,8.039091762477332,-0.5551498684047642,-98075.03727523424,214761.19775723366,0.5271454133969293,1.9172479625518724,0.42196620414520586,True,209.05906192711342,198.4218144256344,-3.937385282513025e-05,168.73798900267548,105.4627763175159,41.71290068596726,0.010912282609758446,1.0,0.010912282609758446,41.71290068596726,hs-SNR,,,,,,,,,,,,,,,0.4777042579245026,0.6561778526508136,True,,,,True,0.5086744539842666,0.04718139334689356,0,203.66940013714705,0.040086208828298185,0.3928430104074508,168.80688512802016,197.35739458871961,Deflagration,0.00974912897840945,0.5086744539842666,0.4680201374190164,0.5784619653545242,1.0285786628987263
9,519.473851513945,-0.24663002135738385,-378.3529586920849,837.8755323899866,-696.2442173737891,0.25405608060360746,1.5752997371025663,1.568449026700508,-189350.72663992294,-57501.430571337776,0.5268815649930684,0.655233105392393,-0.13635094661434982,True,206.25624888853423,-368.61784172259513,5.860293241792202e-05,-329.9265783707118,106.94383624999644,35.729217037516044,0.010744909759952943,1.0,0.010744909759952943,35.729217037516044,hs-SNR,,,,,,,,,,,,,,,0.4627175433783132,0.6556211307691739,True,,,,True,0.5413538913404338,0.08047112193037234,0,197.33065169247445,0.08047110826142324,0.26613058154518565,-329.9138019364691,-366.50025196699823,Deflagration,0.009156142795080703,0.5413538913404338,0.48707432049457555,0.5839675120273056,1.0408122432843392
