,ms,theta,u,muhs,mu3,lamh,lams,lammix,muh2,mus2,Pih,Pis,lamh_tilde,th_bool,h_low_0,s_low_0,h_high_0,s_high_0,Tnuc_0,dT_0,alpha_0,num_FOPT,alpha_max,dT_max,tran_type,h_low_1,s_low_1,h_high_1,s_high_1,Tnuc_1,dT_1,alpha_1,h_low_2,s_low_2,h_high_2,s_high_2,Tnuc_2,dT_2,alpha_2,vwf_0,xi_J_0,v_calculable_0,vwf_1,xi_J_1,v_calculable_1,isEWSB,vw,Lh,dh,h0,Ls,ds,shigh,slow,Type,alpha_p,vm,vp,xi_s,Tp/TN
0,560.7582783867086,-0.17820813004044667,267.84346724420226,-901.731830529741,207.21996573610684,0.2065257306003782,1.8018478044636017,4.1571489437017055,-79887.35034587263,97720.4765955402,0.6109788865331703,1.1433201083995181,-2.191274918448461,True,109.71866167741804,289.3060618865753,-6.292770862360454e-05,296.4423736264334,132.98842402924308,1.6424669593467058,0.0015926853853915426,1.0,0.0015926853853915426,1.6424669593467058,noneSNR,,,,,,,,,,,,,,,0.09729366539481307,0.6090043402903974,True,,,,True,0.14518514360829085,0.25811543434394857,0.0,108.90162426420422,0.2184825302081793,0.5321768409227704,296.44201493878313,289.36340407293295,Deflagration,0.00159157968307473,0.14518514360829085,0.14446081388841736,0.5773502709680002,1.0001736347836776
1,601.6808166743235,-0.18484019623457265,286.28647159000576,-933.220892702312,215.57621681606238,0.2255854110873405,1.9109492864799569,4.1475410221382445,-83528.66864721829,121811.3712138048,0.6201083967115073,1.1689941586430301,-2.024879403968857,True,111.54340986325224,307.41435285003416,0.007810473917101116,314.33506991168576,133.78148935849606,1.0597682659484349,0.0016459310385284526,1.0,0.0016459310385284526,1.0597682659484349,noneSNR,,,,,,,,,,,,,,,0.15698807611639806,0.6095132467757981,True,,,,True,0.005,0.23361413597961375,0.0,95.49645964573212,0.19543827861206836,0.5413187551652648,314.3250147754612,309.1858238453546,Deflagration,0.0011754502935987779,0.005,0.00498236736549984,0.5773502548510862,1.000000158971745
2,399.95978321945404,-0.2091297099646032,122.81189395890415,-282.06387263291737,93.35436050107401,0.1803853090104496,3.1693605672238414,3.2660574957159225,923.73887080661,65715.77080326718,0.5607798654054651,1.3366830577586142,-0.6610408508620679,True,114.70958277770343,147.7484647287401,1.948002936174212e-05,157.68002218569373,132.96015583155307,1.859796734336527,0.0017061115336791215,1.0,0.0017061115336791215,1.859796734336527,noneSNR,,,,,,,,,,,,,,,0.1057490592704772,0.6100780104245861,True,,,,True,0.14932832418753023,0.23075852375468736,0.0,113.83119230413736,0.1952498989793253,0.5331906242684062,157.67889812967317,147.82309162086332,Deflagration,0.0017047735039962336,0.14932832418753023,0.1485282217189412,0.5773502785791867,1.0001961603757765
3,450.78053761107657,-0.2397292624912412,266.1574630210262,-674.0029102500938,998.4272141398486,0.21629696324351025,2.6935399436755967,3.1925162652088184,-53201.58628506165,-54921.125150480635,0.5756714745841993,1.2054710301203693,-0.7296849338835346,True,114.04231768023178,292.88658405134106,0.00017678435988186338,302.2490300445196,132.02474374535123,1.7147393567932738,0.001713460866723758,1.0,0.001713460866723758,1.7147393567932738,noneSNR,,,,,,,,,,,,,,,0.1026123568795732,0.6101462494066204,True,,,,True,0.15046801525898273,0.26768664308875767,0.0,113.19749797229962,0.22635706136952602,0.5401767228550192,302.24830025871296,292.9661958898947,Deflagration,0.0017120916588703346,0.15046801525898273,0.14965774092708828,0.5773502754041738,1.000199818538764
4,393.97386952362984,-0.20094829040665507,122.55025357995146,-293.35262881629563,93.48275736977983,0.17494048658249056,2.948484531623704,3.2984503106196708,-577.5248006899419,60245.12596396006,0.559407154812475,1.2868628513425378,-0.7475481965814337,True,124.71071271043259,145.70678962405805,3.8978462049989725e-06,157.79365187112438,131.6891631345579,2.556087493081208,0.0020637437429506245,1.0,0.0020637437429506245,2.556087493081208,hs-SNR,,,,,,,,,,,,,,,0.1256085070363499,0.6132342492051547,True,,,,True,0.17982355506614153,0.20950493167191225,0.0,123.62146305972034,0.17697679029225993,0.5224734040401996,157.79167528357885,145.81228183334576,Deflagration,0.0020609570534753435,0.17982355506614153,0.17863242109910993,0.5773501608249602,1.000338012028197
5,383.8460013391594,-0.1963822210472433,127.6973723273485,-305.85657082629973,97.56459701716444,0.1704322985048427,2.520198239212027,3.1967748226876904,-2662.127701550264,52931.66503124934,0.5529165821098186,1.1628453635842884,-0.8433142699164111,True,128.60360238554108,150.16682937194108,-0.00013820099829586736,163.5113404120035,131.38545819994872,2.9632647255629365,0.0022176518660183106,1.0,0.0022176518660183106,2.9632647255629365,hs-SNR,,,,,,,,,,,,,,,0.13511451306938382,0.6145018343146154,True,,,,True,0.1990494230600065,0.2053407247555548,0.0,127.36133989985946,0.17331280461236204,0.5137525220447177,163.5085727849518,150.2965867683144,Deflagration,0.0022136699511638913,0.1990494230600065,0.19760920415310856,0.5773503779332829,1.000449358560122
6,573.0298214615383,-0.18661595484731314,275.9995085661681,-946.897293952084,209.698666836078,0.21787016017182595,1.7820469320482528,4.269812410401407,-85509.07409315543,103300.32824501208,0.6213454124313817,1.157147134745631,-2.3397642225353605,True,128.49711913973186,295.90379871748974,4.121177699780723e-05,305.8327550637352,129.65719002292158,2.70246380927216,0.002289864024150539,1.0,0.002289864024150539,2.70246380927216,noneSNR,,,,,,,,,,,,,,,0.1313414792860205,0.6150802846227951,True,,,,True,0.18738215789815582,0.2143846184398986,0.0,127.4098418333897,0.18099376061144987,0.5234909245873293,305.83202409493083,296.00335577531075,Deflagration,0.0022860954422205117,0.18738215789815582,0.18599662854791943,0.5773501834206126,1.0004122886292037
7,465.9148218224904,-0.2521272106756713,259.7050911075387,-666.0099769956644,988.784382131866,0.2324772005970933,2.843807709126166,3.3255300965529733,-46726.63393435653,-41921.6532060028,0.5893038362336639,1.2652069433737037,-0.7397360741954768,True,131.35123776294088,284.68659084102717,-0.00017524908429380885,297.19337533353325,128.80038815543958,2.664686516490022,0.002382095579057489,1.0,0.002382095579057489,2.664686516490022,hs-SNR,,,,,,,,,,,,,,,0.13400124515177286,0.6158050122912667,True,,,,True,0.18480968148585536,0.2180521277846835,0.0,130.31023380934235,0.183880431437593,0.5363051166321647,297.1921067251144,284.80965687140974,Deflagration,0.0023782042386948014,0.18480968148585536,0.18339126033910869,0.5773500927497397,1.000409728863536
8,594.2831393658637,-0.1929796279806808,270.8361057287793,-925.131455840968,214.24587783513118,0.23147995214420025,2.012611575220969,4.368601047087752,-76304.73262750759,118479.64930675375,0.6322665016128333,1.2312530683198677,-2.139155711436446,True,130.62865100347236,290.76469021704736,9.558315697117592e-05,300.869485473606,128.9264900364952,2.7762823555160594,0.002382860689847712,1.0,0.002382860689847712,2.7762823555160594,hs-SNR,,,,,,,,,,,,,,,0.13497175854942411,0.6158109605375747,True,,,,True,0.19126558457354034,0.21601355828860896,0.0,129.54054840043665,0.182265697228612,0.5264769445452354,300.8687850791032,290.86842580607635,Deflagration,0.0023786485051437924,0.19126558457354034,0.18978909575966074,0.5773502053762851,1.00044181549009
9,552.3140644841578,-0.17750166353373692,264.57073654139407,-949.7245726457892,219.77122601782185,0.2035021023517118,1.7527709567972931,4.361855292702413,-86274.29993377678,87947.30913230727,0.6179965036171999,1.165168621316392,-2.510169858136559,True,134.78792869815663,283.19005785924185,1.890948907426037e-05,294.32766105848407,128.90667249937522,3.3262384781564265,0.002563382870227582,1.0,0.002563382870227582,3.3262384781564265,hs-SNR,,,,,,,,,,,,,,,0.14629288689064696,0.6171866918778439,True,,,,True,0.21598514883249997,0.20973394605497575,0.0,133.47943031945516,0.1769924886701991,0.5131219355499334,294.3264705944173,283.3170207125798,Deflagration,0.00255721922821332,0.21598514883249997,0.2141494532137055,0.5773499764424618,1.0006039957400228
